Name,Type-MAN
J000001.57-092940.3,1
J000025.55-095752.8,2
J000027.89-010235.4,1
J000049.32-005042.9,2
J000052.92+003044.6,3
J000052.99-011020.4,3
J000121.46-001140.3,4
J000121.53+010149.0,3
J000134.89-085154.8,3
J000134.97-085727.7,1
J000140.21+010531.1,1
J000140.36-010636.9,1
J000147.31-091723.5,3
J000157.24-103117.3,1
J000224.73-003252.7,3
J000242.32-001320.0,4
J000244.64-003035.2,2
J000257.17-002447.3,2
J000325.23-004355.5,1
J000349.85-094550.1,1
J000351.82-010142.0,2
J000400.86+001717.9,1
J000451.85-092430.8,2
J000451.92+003449.8,3
J000508.83+003300.9,2
J000530.07+002241.1,2
J000542.53+011504.5,1
J000653.04-103510.5,2
J000717.44+004643.1,1
J000724.01-004516.7,2
J000730.58-004815.7,2
J000739.32-003152.5,1
J000750.45-085829.8,1
J000905.15+001350.0,1
J000954.32-103541.9,1
J001047.75-105852.6,1
J001049.70-110812.9,2
J001053.46+004900.4,2
J001115.58-091619.7,2
J001138.72-005604.7,1
J001155.43+011427.9,1
J001158.17-111119.9,1
J001229.85+003911.4,3
J001249.09+005321.9,2
J001303.99-100328.9,1
J001306.57+011404.3,2
J001354.39-092427.2,1
J001429.80-094555.3,2
J001503.39-003459.2,1
J001511.50-011153.1,1
J001522.83+000921.9,3
J001555.13-103557.9,2
J001620.23-090710.6,2
J001653.22-084840.9,1
J001717.98-095252.5,1
J001737.60-005242.0,1
J001838.64-095157.2,2
J001922.71+004629.2,2
J001926.94-010650.4,3
J002012.75+000450.4,2
J002016.10+000446.0,1
J002020.73-001924.8,2
J002051.75+010618.6,1
J002105.20+001500.9,2
J002135.78-004047.2,1
J002137.47+011603.4,2
J002142.25-090044.4,1
J002200.95+000658.0,1
J002235.86+003555.0,1
J002256.88+011555.7,1
J002306.96+010236.8,1
J002310.57+005834.8,2
J002329.10-104415.4,3
J002331.60+010116.7,1
J002345.07-010029.9,1
J002351.20-000632.9,1
J002408.50-104236.8,4
J002410.85-010113.1,1
J002451.39+000003.4,1
J002526.33-005512.8,1
J002722.71-104759.2,1
J002749.92+000928.5,1
J002750.60-100524.4,2
J002812.81-102445.3,2
J002813.82-002153.8,2
J002833.42+005510.9,1
J002838.85+003539.7,2
J002844.28-000547.0,2
J002845.07-095426.8,1
J002845.57-000334.2,3
J002853.36+000649.2,3
J002859.35+002000.6,2
J002942.32-001444.6,1
J003020.57-010648.5,2
J003038.10-004753.9,2
J003055.39-001024.2,1
J003056.46+005524.2,1
J003113.88-001236.2,4
J003132.96-000028.2,2
J003213.32-090231.8,1
J003217.55+010037.0,2
J003221.35+001311.2,1
J003223.35-091607.7,1
J003230.91-002440.2,1
J003316.91-003759.7,4
J003327.37-003246.0,2
J003411.13-001434.3,3
J003538.99-002208.4,1
J003542.43-101418.8,3
J003555.13+002123.1,2
J003556.46-005334.3,2
J003634.50+010359.9,2
J003656.90+010552.8,2
J003659.64+010316.0,2
J003704.11-010908.4,3
J003708.84+001027.3,1
J003719.50-111156.3,3
J003727.35-000735.3,3
J003833.45-092839.1,3
J003855.89-002826.9,3
J003940.85-000526.0,2
J003959.00+003403.5,2
J004020.30-004033.6,3
J004020.69+005250.9,1
J004045.42+000858.0,3
J004051.53-000844.8,1
J004103.00-010353.0,2
J004117.16-005539.8,1
J004127.21+000601.5,3
J004150.46-091811.3,1
J004152.17+002835.0,4
J004252.71+004306.3,4
J004257.35-091804.0,1
J004300.63-091346.4,4
J004301.64-094722.1,1
J004304.94-105005.6,1
J004312.84-103956.1,3
J004329.28-101035.4,2
J004342.02-102129.6,2
J004401.36+000654.3,2
J004404.67+010152.8,3
J004404.82+002019.6,1
J004416.42+001025.2,2
J004432.84-103225.6,1
J004437.52-005430.2,2
J004450.77-094158.0,2
J004454.35+010515.3,1
J004538.60-091449.8,2
J004546.64-093504.6,1
J004603.20-102516.0,2
J004612.58+000006.6,2
J004623.01+004207.5,1
